Аахен	Аахенъ
имеющаяся	имѣющаяся
имеющего	имѣющаго
имеющегося	имѣющагося
имеющее	имѣющее
имеющееся	имѣющееся
имеющем	имѣющемъ
имеющие	имѣющіе
имеющиеся	имѣющіеся
имеющий	имѣющій
имеющийся	имѣющійся
имеющую	имѣющую
имеющуюся	имѣющуюся
имея	имѣя
имитация	имитація
имманентный	имманентный
иммортель	иммортель
иммунитет	иммунитетъ
импеданс	импедансъ
императив	императивъ
император	императоръ
императорские	императорскіе
императорский	императорскій
императорского	императорскаго
императорское	императорское
императрица	императрица
империал	имперіалъ
империализм	имперіализмъ
империи	имперіи
империя	имперія
имперские	имперскіе
имперский	имперскій
имперское	имперское
импет	импетъ
импичмент	импичментъ
импортёр	импортёръ
импотенция	импотенція
импресарио	импресаріо
импрессионизм	импрессіонизмъ
импровизация	импровизація
имущего	имущаго
имущее	имущее
имущественный	имущественный
имущество	имущество
имущие	имущіе
имущий	имущій
имя	имя
имярек	имярекъ
инаугурация	инавгурація
иначе	иначе
инвариант	инваріантъ
инвентарь	инвентарь
инвентура	инвентура
инвенция	инвенція
инверсия	инверсія
инвестиция	инвестиція
инвестор	инвесторъ
ингредиент	ингредіентъ
Ингерманландия	Ингерманландія
Ингрия	Ингрія
Ингулец	Ингулецъ
инде	индѣ
индеветь	индевѣть
индеец	индѣецъ
индейка	индѣйка
индейские	индѣйскіе
индейский	индѣйскій
индейского	индѣйскаго
индейское	индѣйское
индейцев	индѣйцевъ
индейцем	индѣйцемъ
индекс	индексъ
индексация	индексація
индексирование	индексированіе
индепендентен	индепендентенъ
индепендентный	индепендентный
индивидуального	индивидуальнаго
индивидуальное	индивидуальное
индивидуальные	индивидуальные
индивидуальный	индивидуальный
индиец	индіецъ
индийские	индійскіе
индийский	индійскій
индийское	индійское
индийцев	индійцевъ
индийцем	индійцемъ
индифферентный	индиферентный
Индия	Индія
индоевропейский	индо-европейскій
индоссамент	индоссаментъ
индульгенция	индульгенція
индустриализация	индустріализація
индустриального	индустріальнаго
индустриальное	индустріальное
индустриальные	индустріальные
индустриальный	индустріальный
индустрия	индустрія
иней	иней
инертное	инертное
инертные	инертные
инертный	инертный
инерция	инерція
инжектор	инжекторъ
инженер	инженеръ
инженерия	инженерія
инженерного	инженернаго
инженерное	инженерное
инженерные	инженерные
инженерный	инженерный
инженерша	инженерша
инженю	инженю
инициал	иниціалъ
инициатива	иниціатива
инициатор	иниціаторъ
инквизитор	инквизиторъ
инквизиция	инквизиція
Инкерман	Инкерманъ
инконсеквентный	инконсеквентный
инконфиденты	инконфиденты
иннервация	иннервація
Иннокентий	Иннокентій
иноверец	иновѣрецъ
иноверие	иновѣріе
иноверческий	иновѣрческій
иногородний	иногородній
иное	иное
иноземец	иноземецъ
инопланетный	инопланетный
инопланетянин	инопланетянинъ
инородец	инородецъ
иностранец	иностранецъ
иностранного	иностраннаго
иностранное	иностранное
иностранные	иностранные
иностранный	иностранный
иноходец	иноходецъ
иноческий	иноческій
иноязычный	иноязычный
инсектицид	инсектисидъ
инсепарабли	инсепарабли
инсинуация	инсинуація
инспектор	инспекторъ
инспектриса	инспектриса
инспекция	инспекція
инспирация	инспирація
инстинкт	инстинктъ
институт	институтъ
инструкция	инструкція
инструмент	инструментъ
инсургент	инсургентъ
инсценировка	инсценировка
интеграл	интегралъ
интегральное	интегральное
интеграция	интеграція
интеллект	интеллектъ
интеллектуал	интеллектуалъ
интеллектуальнее	интеллектуальнѣе
интеллектуального	интеллектуальнаго
интеллектуальное	интеллектуальное
интеллектуальные	интеллектуальные
интеллектуальный	интеллектуальный
интеллигент	интеллигентъ
интеллигенция	интеллигенція
интендант	интендантъ
интенсивнее	интенсивнѣе
интенсивного	интенсивнаго
интенсивное	интенсивное
интенсивные	интенсивные
интенсивный	интенсивный
интенционализм	интенціонализмъ
интервал	интервалъ
интервент	интервентъ
интервенция	интервенція
интервью	интервью
интервьюер	интервьюеръ
интердикт	интердиктъ
интерес	интересъ
интересант	интересантъ
интересец	интересецъ
интереснее	интереснѣе
интереснейший	интереснѣйшій
интересничать	интересничать
интересно	интересно
интересного	интереснаго
интересное	интересное
интересные	интересные
интересный	интересный
интересовать	интересовать
интересует	интересуетъ
интересуешь	интересуешь
интересуют	интересуютъ
интересующие	интересующіе
интерим	интеримъ
интерлюдия	интерлюдія
интермедия	интермедія
интермеццо	интермеццо
интерн	интернъ
интернат	интернатъ
интернационал	интернаціоналъ
интернационализм	интернаціонализмъ
интернациональный	интернаціональный
интернет	интернетъ
интерпелляция	интерпелляція
интерполяция	интерполяція
интерпретация	интерпретація
интерпунктация	интерпунктація
интеррекс	интеррексъ
интерстициальный	интерстиціальный
интерференция	интерференція
интерцессия	интерцессія
интерьер	интерьеръ
интуиция	интуиція
инфантерия	инфантерія
инфекция	инфекція
инферии	инферіи
инфернальный	инфернальный
инфлексия	инфлекція
инфлюэнца	инфлуэнца
информационные	информаціонные
информация	информація
инфузория	инфузорія
инцест	инцестъ
инцидент	инцидентъ
иные	иные
инъекция	инъекція
инъецировать	инъецировать
инъюнкция	инъюнкція
Иоавилла	Іоавилла
Иоад	Іоадъ
Иоаким	Іоакимъ
Иоанн	Іоаннъ
Иоанна	Іоанна
Иоанникий	Іоанникій
Иоасаф	Іоасафъ
Иоафан	Іоафанъ
Иов	Іовъ
Иоганн	Іоганнъ
Иокаста	Іокаста
Иокогама	Іокогама
иомены	іомены
ион	іонъ
Иона	Іона
Ионафан	Іонаѳанъ
иониец	іоніецъ
ионический	іоническій
Ионическое	Іоническое
Иония	Іонія
Иордан	Іорданъ
иордань	іордань
Иосиф	Іосифъ
Иофор	Іофоръ
ипакои	ипакои
ипат	ипатъ
Ипатий	Ипатій
Ипатьевский	Ипатьевскій
ипекакуана	ипекакуана
иподиакон	иподіаконъ
Ипокрена	Ипокрена
ипокрит	ипокритъ
ипомея	ипомея
ипостась	ипостась
ипотека	ипотека
ипотечного	ипотечнаго
ипотечное	ипотечное
ипотечные	ипотечные
ипотечный	ипотечный
Ираклий	Ираклій
Ириней	Ириней
Иркутский	Иркутскій
Ирландия	Ирландія
ирмологий	ирмологій
Иродиада	Иродіада
Иродион	Иродіонъ
ирокез	ирокезъ
иронические	ироническіе
иронический	ироническій
иронического	ироническаго
ироническое	ироническое
ироничнее	ироничнѣе
ироничного	ироничнаго
ироничное	ироничное
ироничные	ироничные
ирония	иронія
Ирпень	Ирпень
иррегулярный	иррегулярный
Исаак	Исаакъ
Исаакиевский	Исакіевскій
Исаев	Исаевъ
Исайя	Исаія
Исакий	Исакій
Исеть	Исеть
Исихий	Исихій
искажение	искаженіе
искажённый	искажённый
искалеченный	искалѣченный
искалечить	искалѣчить
искание	исканіе
искателем	искателемъ
искатель	искатель
Искер	Искеръ
исклёванный	исклёванный
исклевать	исклевать
исклюёт	исклюётъ
исключение	исключеніе
исключённый	исключённый
исключено	исключено
исключительно	исключительно
исключительного	исключительнаго
исключительное	исключительное
исключительные	исключительные
исключительный	исключительный
исковерканный	исковерканный
исколенный	исколенный
исколесить	исколесить
искомое	искомое
искомые	искомые
исконен	исконенъ
искони	искони
исконно	исконно
исконное	исконное
исконные	исконные
исконный	исконный
ископаемое	ископаемое
ископаемые	ископаемые
искорёженный	искорёженный
искоренение	искорененіе
искоренённый	искоренённый
искренен	искрененъ
искрение	искреніе
искренне	искренне
искреннего	искренняго
искреннее	искреннѣе
искренни	искренни
искренние	искренніе
искренний	искренній
искренно	искренно
искренны	искренны
искривление	искривленіе
искривлённый	искривлённый
искромётный	искромётный
искрошенный	искрошенный
искупительный	искупительный
искупление	искупленіе
искуситель	искуситель
искуснее	искуснѣе
искуснейшие	искуснѣйшіе
искуснейший	искуснѣйшій
искусно	искусно
искусного	искуснаго
искусное	искусное
искусные	искусные
искусный	искусный
искусственного	искусственнаго
искусственно	искусственно
искусственное	искусственное
искусственные	искусственные
искусственный	искусственный
искусство	искусство
искусствовед	искусствовѣдъ
искусствоведение	искусствовѣдѣніе
искушение	искушеніе
искушённый	искушённый
Искья	Искья
Исландия	Исландія
испанец	испанецъ
Испания	Испанія
испанский	испанскій
испарение	испареніе
испарённый	испарённый
испей	испей
испёкся	испёкся
испекать	испекать
испепелённый	испепелённый
испепелить	испепелить
испечённый	испечённый
испечь	испечь
испещрение	испещреніе
испещрённый	испещрённый
испиленный	испиленный
исплёванный	исплёванный
исповедальный	исповѣдальный
исповедание	исповѣданіе
исповедать	исповѣдать
исповедаться	исповѣдаться
исповедник	исповѣдникъ
исповедный	исповѣдный
исповедовать	исповѣдывать
исповедоваться	исповѣдоваться
исповедь	исповѣдь
исподлобья	исподлобья
исподнего	исподняго
исподнее	исподнее
исподний	исподній
исподличаться	изподличаться
исподтишка	исподтишка
испокон	испоконъ
исполать	исполать
исполнение	исполненіе
исполнитель	исполнитель
исполу	исполу
используемый	используемый
использует	используетъ
используете	используете
испорченный	испорченный
исправительный	исправительный
исправление	исправленіе
исправленный	исправленный
испражнение	испражненіе
испрошенный	испрошенный
испрямлённый	испрямлённый
испуг	испугъ
испугает	испугаетъ
испугается	испугается
испуганные	испуганные
испытает	испытаетъ
испытание	испытаніе
испытанием	испытаніемъ
испытания	испытанія
испытанное	испытанное
испытанные	испытанные
испытательный	испытательный
испытуемый	испытуемый
испытывает	испытываетъ
Иссахар	Иссахаръ
исседоны	исседоны
иссекать	изсѣкать
иссечение	изсѣченіе
иссера-голубой	изсѣра-голубой
иссиза-синий	изсиза-синій
иссиня-чёрный	изсиня-чёрный
исследование	изслѣдованіе
исследованного	изслѣдованнаго
исследованное	изслѣдованное
исследованные	изслѣдованные
исследованный	изслѣдованный
исследователь	изслѣдователь
исследовательский	изслѣдовательскій
исследовать	изслѣдовать
исследуем	изслѣдуемъ
исследуемый	изслѣдуемый
исследует	изслѣдуетъ
исследуешь	изслѣдуешь
исследуют	изслѣдуютъ
исслюнить	изслюнить
исслюнявленный	изслюнявленный
иссоп	иссопъ
иссосать	изсосать
иссохнуть	изсохнуть
исстари	изстари
исстёгивать	изстёгивать
исстрелять	изстрѣлять
исстрогать	изстрогать
исстрочить	изстрочить
исстругать	изстругать
исступление	изступленіе
иссучивать	изсучивать
иссушать	изсушать
иссушенный	изсушенный
иссушить	изсушить
Иссык-Куль	Иссыкъ-Куль
иссылать	изсылать
иссяк	изсякъ
иссякнет	изсякнетъ
иссякшего	изсякшаго
иссякшее	изсякшее
иссякшие	изсякшіе
иссякший	изсякшій
истевоны	истевоны
истёкший	истёкшій
истекать	истекать
истереть	истереть
истерзанный	истерзанный
истерзать	истерзать
истерика	истерика
истерический	истерическій
истеричка	истеричка
истерия	истерія
истёртый	истёртый
истёршийся	истёршійся
истёсанный	истёсанный
истец	истецъ
истечение	истеченіе
истечёт	истечётъ
истечь	истечь
истина	истина
истинен	истиненъ
истинна	истинна
истинное	истинное
истинные	истинные
истлевать	истлѣвать
истлеть	истлѣть
истмийские	истмійскія
истое	истое
истолчённый	истолчённый
истомлённый	истомлённый
истончённый	истончённый
истопленный	истопленный
исторгаемый	исторгаемый
исторженный	исторженный
историография	исторіографія
исторические	историческіе
исторический	историческій
исторического	историческаго
историческое	историческое
историей	исторіей
история	исторія
источаемый	источаемый
источенный	источенный
источённый	источённый
источник	источникъ
истощение	истощеніе
истощённый	истощённый
истраченный	истраченный
истребитель	истребитель
истребление	истребленіе
истреблённый	истреблённый
истрёпанный	истрёпанный
истрепать	истрепать
истрескаться	истрескаться
Истрия	Истрія
иступление	иступленіе
истые	истые
истязание	истязаніе
истязуемый	истязуемый
Исфендиар	Исфендіаръ
исхлёстанный	исхлёстанный
исхлестать	исхлестать
исход	исходъ
исходатайствовать	исходатайствовать
исходите	исходите
исходного	исходнаго
исходное	исходное
исходные	исходные
исхождение	исхожденіе
исхуделый	исхудѣлый
исцарапать	исцарапать
исцеление	исцѣленіе
исцелённый	исцѣлённый
исцелил	исцѣлилъ
исцелить	исцѣлить
исцелять	исцѣлять
исчадие	исчадіе
исчез	исчезъ
исчезает	исчезаетъ
исчезать	исчезать
исчезнет	исчезнетъ
исчезновение	исчезновеніе
исчёрканный	исчёрканный
исчерна	исчерна
исчернённый	исчернённый
исчерпать	исчерпать
исчерпывающий	исчерпывающій
исчерченный	исчерченный
исчёсанный	исчёсанный
исчисление	исчисленіе
исчисленный	исчисленный
исшершавить	исшершавить
исшить	исшить
исщерблённый	исщерблённый
исщепать	исщепать
исщипать	исщипать
итак	итакъ
италиец	италіецъ
италийский	италійскій
Италия	Италія
итальянец	итальянецъ
итальянские	италіанскіе
итальянский	италіанскій
итальянское	италіанское
итог	итогъ
итогового	итоговаго
итоговое	итоговое
итоговые	итоговые
итоговый	итоговый
итожение	итоженіе
иттербий	итербій
иттрий	итрій
Иуда	Іуда
иудаизм	іудаизмъ
иудеев	іудеевъ
иудеек	іудеекъ
иудей	іудей
иудейка	іудейка
иудейская	іудейская
иудейские	іудейскіе
иудейский	іудейскій
иудейскими	іудейскими
иудейских	іудейскихъ
иудейского	іудейскаго
иудейскую	іудейскую
иудейство	іудейство
Иудея	Іудея
иудеями	іудеями
Ифигения	Ифигенія
Ификрат	Ификратъ
ифимб	иѳимбъ
ифифаллы	иѳифаллы
ихний	ихній
ихтиозавр	ихтіозавръ
ихтиология	ихтіологія
ишиас	ишіасъ
ишемия	ишемія
ищейка	ищейка
ищем	ищемъ
ищет	ищетъ
ищете	ищете
ищется	ищется
ищите	ищите
ищу	ищу
июль	іюль
июнь	іюнь
Ия	Ія
Йеллоустон	Іеллоустонъ
Йель	Іель
Йемен	Іеменъ
Йена	Іена
йети	іети
Йиглава	Іиглава
йог	іогъ
йога	іога
йогурт	іогуртъ
йогуртовый	іогуртовый
йод	іодъ
йодат	іодатъ
йодид	іодидъ
йодинол	іодинолъ
йодированный	іодированный
йодисто-водородный	іодисто-водородный
йодистый	іодистый
Йожеф	Іожефъ
Йокаи	Іокаи
Йонна	Іонна
Йорк	Іоркъ
Йоркшир	Іоркширъ
йота	іота
Йоханнесбург	Іоганнисбергъ
кабак	кабакъ
кабала	кабала
кабаление	кабаленіе
кабалетта	кабалетта
кабан	кабанъ
кабанёнок	кабанёнокъ
кабаре	кабарэ
кабаретница	кабаретница
кабатчик	кабатчикъ
кабацкий	кабацкій
кабель	кабель
кабельтов	кабельтовъ
кабестан	кабестанъ
кабинет	кабинетъ
каблук	каблукъ
каблучок	каблучокъ
каботьёр	каботьёръ
кабриолет	кабріолетъ
кабриоль	кабріоль
кабы	кабы
кавалер	кавалеръ
кавалергард	кавалергардъ
кавалерия	кавалерія
кавалетто	кавалетто
кавальер	кавальеръ
кавальеро	кавальеро
кавардак	кавардакъ
каверза	каверза
каверна	каверна
кавет	каветъ
Кавказ	Кавказъ
кавказец	кавказецъ
кавказские	кавказскіе
кавказское	кавказское
кавычка	кавычка
каганец	каганецъ
каганечный	каганечный
каденция	каденція
кадет	кадетъ
кадетский	кадетскій
кадмий	кадмій
кадуцей	кадуцей
кадушечка	кадушечка
кадушка	кадушка
каёмка	каёмка
каёмочка	каёмочка
каёмчатый	каёмчатый
каепутовое	каепутовое
каждение	кажденіе
каждого	каждаго
каждодневный	каждодневный
каждое	каждое
каждые	каждые
каждый	каждый
кажемся	кажемся
кажется	кажется
кажешься	кажешься
казак	казакъ
казацкий	казацкій
казачество	казачество
казачий	казачій
казачок	казачокъ
казачье	казачье
казачьего	казачьяго
Казбек	Казбекъ
казеин	казеинъ
каземат	казематъ
казёнка	казёнка
казённик	казённикъ
казённое	казённое
казённокоштный	казённокоштный
казённые	казённые
казённый	казённый
казёнщина	казёнщина
казинет	казинетъ
Казимир	Казимиръ
казна	казна
казначей	казначей
казначейский	казначейскій
казнённый	казнённый
казнодей	казнодѣй
Каиафа	Каіафа
Кайафа	Каіафа
Кайен	Кайенъ
Кайенна	Кайенна
кайеннский	кайеннскій
кайзер	кайзеръ
кайма	кайма
каймённый	каймённый
каймлю	каймю
кайюпутовое	кайюпутовое
какавелла	какавелла
какао	какао
как-будто	какъ-будто
как	же
какие	какіе
какие-то	какіе-то
как-нибудь	какъ-нибудь
како	К
какого	какого
какое	какое
какое-то	какое-то
какой	какой
какой-либо	какой-либо
какой-нибудь	какой-нибудь
какой-то	какой-то
какофонический	какофоническій
какофония	какофонія
как	раз
как-то	какъ-то
калабреза	калабреза
Калабрия	Калабрія
каламбур	каламбуръ
каланча	каланча
калач	калачъ
калачом	калачёмъ
Кале	Кале
калевать	калевать
калёвка	калёвка
Каледония	Каледонія
калейдоскоп	калейдоскопъ
калека	калѣка
календа	календа
календарного	календарнаго
календарное	календарное
календарные	календарные
календарь	календарь
калёный	калёный
Калерия	Калерія
калечащий	калѣчащій
калечащийся	калѣчащійся
калечение	калѣченіе
калеченный	калѣченный
калеченый	калѣченый
калечить	калѣчить
калечиться	калѣчиться
калечишь	калѣчишь
калечишься	калѣчишься
калечные	калѣчные
калечный	калѣчный
калиберный	калиберный
калиевый	каліевый
калика	калика
каллиграфия	каллиграфія
Каллисфен	Каллисѳенъ
Каллиопа	Калліопа
каломель	каломель
калориметр	калориметръ
калорифер	калориферъ
калоша	калоша
Кальдерон	Кальдеронъ
кальян	кальянъ
камамбер	камамберъ
камбий	камбій
камедь	камедь
камелёк	камелёкъ
камелеопард	камелеопардъ
камелия	камелія
камена	камена
каменение	каменѣніе
каменеть	каменѣть
Каменец-Подольский	Каменецъ-Подольскій
каменистый	каменистый
каменка	каменка
каменного	каменнаго
каменное	каменное
каменные	каменные
каменный	каменный
каменосек	каменосѣкъ
каменотёс	каменотёсъ
Каменск	Каменскъ
каменщик	каменщикъ
камень	камень
камены	камены
камера	камера
камеральный	камеральный
камерарий	камерарій
камергер	камергеръ
камердинер	камердинеръ
камеристка	камеристка
камерного	камернаго
камерное	камерное
камерные	камерные
камерный	камерный
камертон	камертонъ
камер-юнкер	камеръ-юнкеръ
камешек	камешекъ
камея	камея
камзол	камзолъ
камин	каминъ
каминный	каминный
каминные	каминные
камней	камней
камнеломка	камнеломка
камнепад	камнепадъ
камнище	камнище
кампания	кампанія
камуфлет	камуфлетъ
камфора	камфора
камыш	камышъ
камышевка	камышевка
канава	канава
каналец	каналецъ
канализация	канализація
канапе	канапе
канарейка	канарейка
канат	канатъ
канва	канва
кандалы	кандалы
канделябр	канделябръ
Кандия	Кандія
Канев	Каневъ
канелюра	канелюра
канефора	канефора
канитель	канитель
канифас	канифасъ
канифоль	канифоль
канканёр	канканёръ
канонада	канонада
канонерка	канонерка
каноник	каноникъ
канонический	каноническій
каноничный	каноничный
канонник	канонникъ
Кантемир	Кантемиръ
кантилена	кантилена
канун	канунъ
канцелярия	канцелярія
канцлер	канцлеръ
канцонетта	канцонетта
канючить	канючить
капанье	капанье
капелла	капелла
капеллан	капелланъ
капель	капель
капельдинер	капельдинеръ
капелька	капелька
капельмейстер	капельмейстеръ
капельный	капельный
капер	каперъ
Капернаум	Капернаумъ
каперс	каперсъ
Капетинги	Капетинги
капиллярный	капиллярный
капитал	капиталъ
капиталоёмкий	капиталоёмкій
капитан	капитанъ
капитель	капитель
Капитолина	Капитолина
капитуляция	капитуляція
капище	капище
капкан	капканъ
каплевидный	каплевидный
капля	капля
капор	капоръ
капот	капотъ
капрал	капралъ
каприз	капризъ
каптенармус	каптенармусъ
каптёрка	каптёрка
Капулетти	Капулетти
капуста	капуста
капюшон	капюшонъ
Кар	Каръ
кара	кара
карабинер	карабинеръ
карабкаться	карабкаться
Караваев	Караваевъ
каравай	коровай
караван	караванъ
каравелла	каравелла
караемый	караемый
каразея	каразея
каракатица	корокатица
каракулевый	каракулевый
каракуль	каракуль
карамель	карамель
карандаш	карандашъ
карантин	карантинъ
карасёвый	карасёвый
карась	карась
каратель	каратель
карать	карать
караул	караулъ
карбованец	карбованецъ
карбункул	карбункулъ
карбункулёз	карбункулёзъ
карбюратор	карбураторъ
карга	карга
кардан	кардонъ
кардиология	кардіологія
каре	карре
кареит	кареитъ
Карелия	Карелія
карельский	карельскій
карелы	карелы
карета	карета
кариатида	каріатида
Карибские	Караибскіе
карие	каріе
карий	карій
кариес	каріесъ
карикатура	карикатура
Кария	К~арія
карман	карманъ
кармашек	кармашекъ
кармелиты	кармелиты
карнавал	карнавалъ
карнеол	карнеолъ
каротель	каротель
карпетка	карпетка
Карское	Карское
Картагена	Картагена
картёжник	картёжникъ
картель	картель
картечина	картечина
картечница	картечница
картечный	картечный
картечь	картечь
картина	картина
картинка	картинка
картон	картонъ
картонка	картонка
картофель	картофель
карточка	карточка
картуз	картузъ
карусель	карусель
Карфаген	Карѳагенъ
карцер	карцеръ
карьер	карьеръ
карьера	карьера
касаемо	касаемо
касаемся	касаемся
касается	касается
касаешься	касаешься
касательно	касательно
касатка	касатка
касаться	касаться
касающиеся	касающіеся
касающийся	касающійся
каскадёр	каскадёръ
каскет	каскетъ
Каспийское	Каспійское
касса	касса
кассация	кассація
Кассель	Кассель
кассета	кассета
Кассий	Кассій
Кассиодор	Кассіодоръ
кассолет	кассолетъ
кастаньета	кастаньета
кастелянша	кастелянша
кастет	кастетъ
кастрюля	кастрюля
Касьян	Касьянъ
катавасия	катавасія
катакомбы	катакомбы
каталепсия	каталепсія
каталог	каталогъ
катание	катаніе
катастрофа	катастрофа
катастрофический	катастрофическій
катафалк	катафалкъ
категориальный	категоріальный
категорией	категоріей
категоризация	категоризація
категоризованный	категоризованный
категоризовать	категоризовать
категорийный	категорійный
категоричен	категориченъ
категорически	категорически
категорические	категорическіе
категорический	категорическій
категорического	категорическаго
категорическое	категорическое
категоричнее	категоричнѣе
категоричного	категоричнаго
категорично	категорично
категоричное	категоричное
категоричные	категоричные
категоричный	категоричный
категория	категорія
Катенька	Катенька
катер	катеръ
Катерина	Катерина
катет	катетъ
катетер	катетеръ
катехизис	катехизисъ
катитесь	катитесь
католический	католическій
каторга	каторга
каторжане	каторжане
каторжного	каторжнаго
каторжное	каторжное
каторжные	каторжные
катрен	катренъ
Каттегат	Каттегатъ
катушечка	катушечка
Кафа	Каѳа
кафе	кафе
кафетерий	кафетерій
кафедра	каѳедра
кафедральный	каѳедральный
кафель	кафель
кафе-ресторан	кафе-ресторанъ
кафешантан	кафе-шантанъ
кафешка	кафешка
кафизма	каѳизма
кафолический	каѳолическій
кафтан	кафтанъ
кахексия	кахексія
Кахетия	Кахетія
кацавейка	кацавейка
качает	качаетъ
качание	качаніе
качаться	качаться
качели	качели
каченный	каченный
качественнее	качественнѣе
качественного	качественнаго
качественное	качественное
качественные	качественные
качественный	качественный
качество	качество
качнёмся	качнёмся
качнётся	качнётся
качнёшься	качнёшься
каша	каша
кашевар	кашеваръ
кашель	кашель
кашемир	кашемиръ
кашне	кашне
Кащей	Кащей
кают-компания	каютъ-компанія
каяться	каяться
квадрирема	квадрирема
квадрупеды	квадрупеды
квакает	квакаетъ
квакер	квакеръ
квалификация	квалификація
квартер	квартеръ
квартерон	квартеронъ
квартердек	квартердекъ
квартет	квартетъ
квартира	квартира
квартирмейстер	квартирмейстеръ
квартиросъёмщик	квартиросъёмщикъ
квартирьер	квартирьеръ
кварцевать	кварцевать
квасцевать	квасцевать
кватерна	кватерна
кватроченто	кватроченто
квашение	квашеніе
Квебек	Квебекъ
квёлый	квёлый
кверху	кверху
квестор	квесторъ
квестура	квестура
квиетизм	квіетизмъ
Квинсленд	Квинслендъ
квинтерна	квинтерна
квинтет	квинтетъ
квинтэссенция	квинтъ-эссенція
квитанция	квитанція
кебаб	кебабъ
кегельбан	кегельбанъ
кегли	кегли
кегль	кегль
кегля	кегля
кедр	кедръ
кедровка	кедровка
Кейданы	Кейданы
кейфовать	кейфовать
Кекропс	Кекропсъ
кекс	кексъ
Кексгольм	Кексгольмъ
келарь	келарь
Келат	Келатъ
келейный	келейный
Келецкая	Кѣлецкая
келиот	келіотъ
Кёльн	Кёльнъ
кельнер	кельнеръ
кельп	кельпъ
кельтский	кельтскій
кельты	кельты
Кельцы	Кѣльцы
келья	келья
кем	кѣмъ
кемарить	кемарить
Кембридж	Кембриджъ
кембрик	кембрикъ
кем-либо	кѣмъ-либо
кем-нибудь	кѣмъ-нибудь
кемперский	кемперскій
кем-то	кѣмъ-то
Кемь	Кемь
кенгурёнок	кенгурёнокъ
кенгуру	кенгуру
кендырь	кендырь
Кёнигсберг	Кёнигсбергъ
Кения	Кенія
кенкет	кенкетъ
кеновит	кеновитъ
Кент	Кентъ
кентавр	кентавръ
Кентербери	Кентербери
Кентукки	Кентукки
кеньги	кеньги
кепи	кепи
кепка	кепка
Кеплер	Кеплеръ
кепочный	кепочный
керамика	керамика
кератин	кератинъ
кератит	кератитъ
Керенск	Керенскъ
Керенский	Керенскій
кёрлинг	кёрлингъ
керосин	керосинъ
Керченский	Керченскій
Керчь	Керчь
кесарь	кесарь
кессон	кессонъ
кета	кета
кетгут	кэтгутъ
кетон	кетонъ
кетчуп	кетчупъ
Кефалония	Кефалонія
кефаль	кефаль
кефир	кефиръ
Кефис	Кефисъ
кивер	киверъ
кивнём	кивнёмъ
кивнёт	кивнётъ
кивнёшь	кивнёшь
кидает	кидаетъ
Киев	Кіевъ
киевляне	кіевляне
Киево-Печерская	Кіево-Печерская
киевские	кіевскіе
киевский	кіевскій
киевского	кіевскаго
киевское	кіевское
кий	кій
Кий	Кій
килевание	килеваніе
килевой	килевой
Киликия	Киликія
километр	километръ
кильватер	кильватеръ
кимберлит	кимберлитъ
